Домен вызова,Источник,Страница звонка,Сайт тип,Тип трафика,Источник трафика,Предмет рекламы
.бренд.ru,Прямой переход,http://бренд.ru/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Yandex.Direct,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google.AdWords,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google.AdWords,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google.AdWords,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Yandex.Direct,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google.AdWords,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google.AdWords,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex.Direct,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Mail.ru,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex.Direct,http://бренд.ru/,Промо,Рекламный,Контекст,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/dhqide/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/dhqide/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/dhqide/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/dhqide/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Vkontakte,http://бренд.ru/dhqide/,Промо,Нерекламный,Прочие рефералы,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/dhqide/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Прямой переход,http://бренд.ru/dhqide/,Промо,Нерекламный,Прямые заходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Vkontakte,http://бренд.ru/dhqide/,Промо,Нерекламный,Прочие рефералы,Бренд Н
.бренд.ru,http://.бренд.ru,http://бренд.ru/dhqide/,Промо,Нерекламный,Внутренние переходы,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/10471/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Yandex,http://бренд.ru/dhqide/10517/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Google,http://бренд.ru/dhqide/10840/,Промо,Нерекламный,Поиск,Бренд Н
.бренд.ru,Mail.ru,http://бренд.ru/dhqide/11169/,Промо,Нерекламный,Поиск,Бренд Н
